01/1990,02/1990,03/1990,04/1990,05/1990,06/1990,07/1990,08/1990,09/1990,10/1990,11/1990,12/1990,01/1991,02/1991,03/1991,04/1991,05/1991,06/1991,07/1991,08/1991,09/1991,10/1991,11/1991,12/1991,01/1992,02/1992,03/1992,04/1992,05/1992,06/1992,07/1992,08/1992,09/1992,10/1992,11/1992,12/1992,01/1993,02/1993,03/1993,04/1993,05/1993,06/1993,07/1993,08/1993,09/1993,10/1993,11/1993,12/1993,01/1994,02/1994,03/1994,04/1994,05/1994,06/1994,07/1994,08/1994,09/1994,10/1994,11/1994,12/1994,01/1995,02/1995,03/1995,04/1995,05/1995,06/1995,07/1995,08/1995,09/1995,10/1995,11/1995,12/1995,01/1996,02/1996,03/1996,04/1996,05/1996,06/1996,07/1996,08/1996,09/1996,10/1996,11/1996,12/1996,01/1997,02/1997,03/1997,04/1997,05/1997,06/1997,07/1997,08/1997,09/1997,10/1997,11/1997,12/1997,01/1998,02/1998,03/1998,04/1998,05/1998,06/1998,07/1998,08/1998,09/1998,10/1998,11/1998,12/1998,01/1999,02/1999,03/1999,04/1999,05/1999,06/1999,07/1999,08/1999,09/1999,10/1999,11/1999,12/1999,01/2000,02/2000,03/2000,04/2000,05/2000,06/2000,07/2000,08/2000,09/2000,10/2000,11/2000,12/2000,01/2001,02/2001,03/2001,04/2001,05/2001,06/2001,07/2001,08/2001,09/2001,10/2001,11/2001,12/2001,01/2002,02/2002,03/2002,04/2002,05/2002,06/2002,07/2002,08/2002,09/2002,10/2002,11/2002,12/2002,01/2003,02/2003,03/2003,04/2003,05/2003,06/2003,07/2003,08/2003,09/2003,10/2003,11/2003,12/2003,01/2004,02/2004,03/2004,04/2004,05/2004,06/2004,07/2004,08/2004,09/2004,10/2004,11/2004,12/2004,01/2005,02/2005,03/2005,04/2005,05/2005,06/2005,07/2005,08/2005,09/2005,10/2005,11/2005,12/2005,01/2006,02/2006,03/2006,04/2006,05/2006,06/2006,07/2006,08/2006,09/2006,10/2006,11/2006,12/2006,01/2007,02/2007,03/2007,04/2007,05/2007,06/2007,07/2007,08/2007,09/2007,10/2007,11/2007,12/2007,01/2008,02/2008,03/2008,04/2008,05/2008,06/2008,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018
S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S155,S928,S928,S928,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S585,S585,S585,S585,S155,S155,S155,S155,S155,S155,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S456,S198
S1335,S1335,S1335,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S697,S1301,S1301,S1301,S1301,S1301,S1301,S155,S155,S83,S928,S928,S928,S928,S626,S626,S626,S626,S626,S626,S626,S626,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1100,S626,S626,S768,S768,S768,S768,S768,S768,S768,S768,S768,S768,S768,S768,S768,S768,S1370,S1370,S1370,S1370,S585,S585,S585,S1211,S1211,S1211,S796,S796,S796,S796,S796,S796,S1066,S1066,S1100,S1100,S185,S682,S853,S853,S853,S585,S585,S585,S914,S914,S914,S914,S914,S914,S1189,S1189,S1189,S796,S796,S796,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S512,S512,S512,S512,S512,S512,S512,S512,S512,S1032,S1032,S1032,S229,S229,S229,S229,S229,S229,S229,S229,S229,S334,S334,S334,S334,S334,S334,S60,S60,S60,S173,S173,S182,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S459,S8,S8,S8,S8,S376,S376,S376,S376,S376,S376,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S1370,S698,S698,S698,S698,S698,S698,S698,S698,S698,S698,S698,S698,S309,S309,S309,S309,S309,S309,S76,S76,S550
S83,S83,S83,S1335,S1335,S1335,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S4,S4,S4,S697,S697,S697,S697,S697,S697,S1301,S1301,S155,S545,S545,S545,S545,S928,S928,S336,S336,S336,S958,S958,S958,S4,S4,S4,S289,S289,S289,S289,S82,S82,S1141,S1100,S1100,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S626,S768,S768,S768,S768,S1370,S1370,S1370,S665,S665,S665,S1093,S709,S709,S709,S709,S709,S1208,S873,S1211,S1211,S1100,S1032,S682,S682,S682,S1271,S1271,S1271,S328,S328,S328,S328,S328,S328,S128,S128,S128,S709,S709,S709,S143,S143,S143,S550,S550,S550,S796,S796,S796,S185,S185,S185,S379,S379,S379,S382,S382,S382,S512,S512,S512,S1032,S1032,S1032,S1032,S1032,S1032,S155,S155,S1284,S837,S837,S837,S837,S837,S837,S672,S672,S672,S139,S139,S173,S284,S284,S284,S869,S869,S869,S869,S869,S869,S128,S128,S128,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S366,S366,S366,S1119,S1119,S1119,S185,S185,S185,S185,S8,S8,S8,S1279,S1279,S1279,S545,S545,S545,S639,S639,S639,S639,S639,S639,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S1032,S752,S752,S752,S128,S128,S128,S376,S376,S376,S185,S185,S185,S796,S796,S449,S615,S615,S615,S615,S615,S615,S185,S185,S185,S555,S555,S555,S553,S553,S553,S553,S553,S553,S553,S553,S553,S553,S553,S553,S553,S553,S553,S553,S553,S553,S553,S553,S553,S210,S210,S210,S1370,S1370,S1370,S834,S834,S834,S658,S658,S658,S709,S709,S709,S698,S698,S698,S30,S30,S30,S309,S309,S118
S1090,S1090,S1090,S83,S83,S83,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S490,S83,S83,S83,S83,S83,S83,S626,S626,S626,S4,S4,S4,S796,S796,S796,S1039,S1039,S1301,S4,S4,S4,S796,S545,S545,S1223,S1223,S1223,S184,S184,S184,S791,S791,S791,S4,S4,S4,S4,S289,S289,S155,S1141,S1141,S1100,S1100,S1100,S1100,S1100,S1100,S1100,S1100,S1100,S1100,S1100,S1100,S1100,S1100,S626,S626,S626,S626,S768,S768,S768,S497,S497,S497,S848,S1093,S1093,S1093,S1093,S1093,S796,S1208,S1066,S1066,S1211,S796,S1032,S1032,S1032,S853,S853,S853,S585,S585,S585,S585,S585,S585,S869,S869,S869,S1093,S1093,S1093,S1241,S1241,S1241,S1211,S1211,S1211,S709,S709,S709,S420,S420,S420,S664,S664,S664,S155,S155,S155,S383,S383,S612,S1234,S1234,S1234,S1234,S1234,S1234,S366,S366,S155,S290,S290,S290,S290,S290,S290,S334,S334,S334,S772,S772,S139,S796,S796,S796,S185,S185,S185,S592,S592,S592,S869,S869,S869,S796,S1368,S1368,S1046,S1046,S1046,S752,S752,S752,S1279,S1279,S1279,S592,S592,S592,S185,S185,S185,S796,S796,S545,S545,S545,S796,S796,S796,S459,S459,S459,S459,S796,S796,S796,S155,S155,S155,S376,S376,S376,S1221,S1221,S1221,S8,S8,S8,S366,S366,S366,S1010,S1010,S1010,S185,S185,S185,S86,S86,S86,S752,S752,S752,S796,S796,S796,S420,S420,S420,S976,S976,S796,S1279,S1279,S1279,S796,S796,S796,S420,S420,S827,S796,S796,S796,S1279,S1279,S1279,S185,S185,S185,S622,S622,S622,S752,S752,S752,S827,S827,S827,S698,S698,S698,S622,S622,S622,S541,S541,S541,S338,S338,S338,S394,S394,S394,S834,S834,S834,S658,S658,S658,S976,S976,S976,S698,S698,S698,S976,S976,S1368
S59,S59,S59,S1090,S1090,S1090,S83,S83,S83,S83,S83,S83,S83,S83,S83,S83,S83,S83,S83,S83,S83,S140,S140,S140,S140,S140,S140,S140,S140,S140,S140,S140,S140,S835,S835,S835,S835,S835,S835,S1185,S1185,S1185,S1185,S1185,S1185,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S490,S490,S490,S490,S490,S490,S1306,S1306,S1306,S848,S848,S848,S4,S4,S4,S236,S236,S1039,S1306,S1306,S1306,S4,S585,S585,S928,S928,S928,S1211,S1211,S1211,S1234,S1234,S1234,S922,S922,S1216,S1093,S4,S796,S672,S155,S155,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S1141,S914,S914,S1100,S1334,S1334,S1334,S796,S796,S796,S585,S585,S585,S661,S848,S848,S848,S848,S848,S4,S796,S1083,S1083,S1066,S709,S796,S796,S796,S1312,S1312,S1312,S140,S140,S140,S140,S140,S140,S659,S659,S659,S12,S12,S12,S796,S796,S796,S387,S387,S387,S1093,S1093,S1093,S35,S35,S35,S796,S796,S796,S1216,S1216,S1216,S796,S796,S383,S512,S512,S512,S512,S512,S512,S752,S752,S366,S42,S42,S42,S42,S42,S42,S837,S837,S837,S461,S461,S772,S709,S709,S709,S686,S461,S461,S796,S796,S796,S1279,S1279,S1279,S709,S796,S796,S185,S185,S185,S1046,S1046,S1046,S366,S366,S366,S796,S796,S796,S869,S869,S869,S709,S709,S1169,S1169,S1169,S709,S709,S709,S1279,S1279,S128,S128,S709,S709,S709,S659,S659,S659,S796,S796,S796,S155,S155,S155,S796,S796,S796,S639,S639,S639,S1110,S1110,S1110,S459,S459,S459,S1032,S1032,S1032,S811,S811,S1048,S976,S976,S976,S568,S568,S568,S709,S709,S976,S155,S155,S155,S976,S976,S976,S568,S568,S420,S976,S976,S976,S155,S155,S155,S976,S796,S796,S76,S76,S76,S622,S622,S622,S752,S752,S752,S1027,S1027,S1027,S76,S76,S76,S553,S553,S553,S1051,S1051,S1051,S1370,S1370,S1370,S1001,S1001,S1001,S834,S834,S834,S709,S709,S709,S631,S631,S631,S709,S709,S1170
S730,S730,S730,S59,S59,S59,S1090,S1090,S1090,S210,S210,S210,S210,S210,S210,S210,S210,S210,S210,S210,S210,S83,S83,S83,S83,S83,S83,S83,S83,S83,S83,S83,S83,S140,S140,S140,S140,S140,S140,S835,S835,S835,S835,S835,S835,S1185,S1185,S1185,S1185,S1185,S1185,S1185,S1185,S1185,S1185,S1185,S1185,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S1335,S140,S140,S140,S140,S140,S140,S83,S83,S83,S626,S626,S626,S709,S709,S709,S697,S697,S236,S141,S141,S141,S709,S796,S796,S545,S545,S545,S60,S60,S60,S512,S512,S512,S791,S791,S922,S661,S1093,S4,S82,S672,S672,S1234,S1234,S1234,S1234,S1234,S1234,S1185,S1185,S1185,S625,S625,S625,S1025,S1025,S914,S338,S338,S338,S4,S4,S4,S1098,S1098,S1098,S785,S12,S12,S12,S12,S12,S709,S4,S873,S873,S1083,S1093,S709,S709,S709,S791,S791,S791,S1271,S1271,S1271,S1367,S1367,S1367,S769,S769,S769,S661,S661,S661,S709,S709,S709,S143,S143,S143,S12,S12,S12,S562,S562,S562,S709,S709,S709,S366,S366,S366,S709,S709,S796,S1337,S1337,S1337,S1053,S1053,S1053,S10,S10,S752,S442,S442,S1211,S185,S185,S185,S775,S775,S775,S155,S155,S461,S1093,S1093,S1093,S284,S676,S420,S709,S709,S709,S155,S155,S155,S1093,S709,S709,S1221,S1221,S1221,S796,S796,S376,S426,S426,S426,S709,S709,S709,S1279,S1279,S1279,S1093,S1093,S1046,S1046,S1046,S1093,S1093,S1093,S155,S155,S1279,S1279,S1093,S1093,S1093,S1211,S1211,S1211,S709,S709,S709,S60,S60,S60,S709,S709,S709,S752,S752,S752,S796,S796,S796,S420,S420,S420,S1074,S1074,S1074,S86,S86,S811,S709,S709,S709,S476,S476,S476,S12,S12,S709,S537,S566,S566,S709,S709,S709,S476,S476,S568,S709,S709,S709,S659,S659,S659,S709,S976,S976,S185,S185,S185,S76,S76,S76,S586,S586,S1117,S75,S75,S75,S185,S185,S185,S622,S622,S622,S294,S294,S294,S1027,S1027,S1027,S1221,S1221,S1221,S805,S805,S166,S1093,S1093,S1093,S1350,S1350,S1350,S1093,S1093,S566
S289,S289,S289,S730,S730,S730,S59,S59,S59,S1090,S1090,S1090,S1090,S1090,S1090,S1090,S1090,S1090,S1090,S1090,S1090,S210,S210,S210,S210,S210,S210,S210,S210,S210,S210,S210,S210,S83,S83,S83,S83,S83,S83,S140,S140,S140,S140,S140,S140,S835,S835,S835,S835,S835,S835,S835,S835,S835,S835,S835,S835,S1185,S1185,S1185,S139,S139,S139,S139,S139,S139,S139,S139,S139,S139,S139,S139,S1141,S1141,S1141,S1141,S1141,S1141,S490,S490,S490,S1306,S1306,S1306,S1093,S1093,S1093,S796,S796,S697,S83,S83,S83,S1093,S4,S4,S585,S585,S585,S984,S984,S984,S709,S796,S796,S1230,S1230,S791,S785,S661,S1093,S289,S82,S1167,S4,S4,S4,S796,S796,S796,S1340,S1340,S1340,S557,S557,S557,S1141,S1141,S1025,S805,S805,S805,S709,S709,S709,S10,S10,S10,S626,S661,S661,S661,S661,S661,S1093,S709,S721,S721,S873,S785,S1093,S1093,S1093,S47,S47,S47,S709,S709,S709,S1271,S1271,S1271,S60,S60,S60,S785,S785,S785,S1093,S1093,S1093,S366,S366,S366,S661,S661,S661,S817,S817,S817,S1093,S1093,S1093,S379,S379,S379,S1093,S1093,S709,S185,S185,S185,S1337,S1337,S1337,S1032,S1032,S808,S229,S229,S442,S1100,S1100,S183,S290,S290,S290,S726,S726,S155,S12,S12,S12,S1228,S51,S676,S1093,S1093,S1093,S143,S143,S143,S12,S1093,S1093,S183,S183,S183,S709,S709,S796,S752,S752,S752,S1093,S1093,S1093,S60,S60,S60,S12,S12,S86,S86,S86,S12,S12,S12,S60,S60,S155,S155,S12,S12,S12,S732,S732,S732,S1093,S1093,S1093,S420,S420,S420,S1093,S1093,S1093,S811,S449,S449,S709,S709,S976,S568,S568,S568,S592,S592,S592,S1032,S1032,S86,S1093,S1093,S1093,S186,S186,S186,S661,S661,S1093,S449,S537,S537,S1093,S1093,S1093,S1340,S435,S476,S1093,S1093,S1093,S769,S769,S769,S1093,S709,S709,S420,S420,S420,S796,S796,S796,S453,S453,S586,S796,S796,S796,S420,S566,S566,S76,S76,S76,S630,S630,S542,S939,S939,S939,S1279,S1279,S1279,S980,S980,S805,S31,S31,S31,S144,S144,S144,S31,S31,S40
S9,S9,S9,S289,S289,S289,S730,S730,S730,S59,S59,S59,S59,S59,S59,S59,S59,S59,S59,S59,S59,S1090,S1090,S1090,S1090,S1090,S1090,S1090,S1090,S1090,S1090,S1090,S1090,S210,S210,S210,S210,S210,S210,S83,S83,S83,S83,S83,S83,S140,S140,S140,S140,S140,S585,S585,S585,S585,S545,S545,S545,S835,S835,S835,S1185,S1185,S1185,S1185,S1185,S1185,S1185,S1185,S1185,S1185,S1185,S1185,S1335,S1335,S1335,S1335,S1335,S1335,S140,S140,S140,S542,S542,S542,S848,S848,S848,S4,S4,S796,S139,S139,S173,S848,S709,S709,S452,S452,S452,S336,S336,S63,S1093,S709,S709,S74,S449,S1130,S852,S785,S661,S796,S289,S1037,S521,S521,S848,S4,S4,S4,S585,S585,S585,S461,S461,S461,S512,S512,S1141,S1100,S1100,S1100,S1093,S1093,S1093,S1370,S1370,S1370,S89,S785,S785,S785,S785,S785,S848,S1093,S1208,S1208,S721,S852,S12,S12,S12,S682,S666,S666,S1093,S1093,S1093,S796,S796,S796,S914,S914,S914,S852,S852,S852,S12,S12,S12,S302,S302,S302,S785,S785,S785,S610,S610,S610,S12,S12,S12,S752,S752,S752,S12,S12,S1093,S250,S250,S250,S796,S796,S796,S209,S209,S10,S32,S32,S229,S869,S869,S1100,S42,S42,S42,S1211,S1211,S726,S661,S661,S661,S652,S467,S51,S12,S12,S12,S366,S366,S366,S661,S12,S12,S542,S542,S1306,S1093,S1093,S709,S556,S556,S556,S12,S12,S12,S420,S420,S420,S661,S661,S453,S453,S453,S661,S661,S661,S420,S420,S1384,S1384,S661,S661,S661,S366,S366,S366,S12,S12,S12,S1119,S1119,S1119,S12,S12,S12,S8,S811,S811,S1093,S1093,S709,S476,S476,S476,S796,S796,S796,S758,S758,S1032,S12,S12,S12,S29,S29,S29,S785,S785,S12,S811,S449,S449,S31,S31,S31,S186,S1340,S435,S31,S31,S31,S115,S115,S1219,S12,S1093,S1093,S1340,S1340,S1369,S976,S976,S976,S1228,S1228,S453,S976,S976,S976,S1082,S420,S420,S976,S976,S976,S210,S210,S630,S67,S67,S67,S1340,S1340,S1340,S1001,S1001,S980,S12,S12,S12,S522,S522,S522,S12,S12,S1376
S75,S75,S75,S9,S9,S9,S289,S289,S289,S730,S730,S730,S730,S730,S730,S730,S730,S730,S730,S730,S730,S59,S59,S59,S1206,S1206,S1206,S1206,S1206,S1206,S1206,S1206,S1206,S1090,S1090,S1090,S1090,S1090,S1090,S210,S210,S210,S210,S210,S210,S12,S12,S4,S796,S796,S140,S140,S140,S140,S104,S104,S104,S545,S545,S545,S835,S835,S835,S835,S835,S835,S835,S835,S835,S184,S184,S184,S1027,S1027,S1027,S1027,S1027,S1027,S1141,S1141,S1141,S83,S83,S83,S661,S661,S661,S709,S709,S4,S853,S853,S139,S12,S1093,S1093,S525,S525,S525,S1223,S1223,S336,S12,S1093,S1093,S819,S149,S1230,S89,S852,S785,S4,S796,S82,S958,S958,S521,S709,S709,S709,S1234,S1234,S1234,S1185,S1185,S1185,S796,S796,S512,S210,S210,S210,S848,S848,S848,S768,S768,S768,S1334,S626,S626,S626,S626,S626,S12,S848,S243,S243,S1208,S89,S661,S661,S661,S543,S682,S682,S661,S661,S661,S709,S709,S709,S63,S63,S63,S89,S89,S89,S661,S661,S661,S752,S752,S752,S89,S89,S852,S721,S721,S721,S661,S661,S661,S1009,S1009,S788,S661,S661,S12,S520,S520,S520,S709,S709,S709,S1234,S1234,S1032,S760,S760,S32,S853,S853,S869,S796,S796,S796,S60,S60,S1211,S785,S785,S785,S330,S158,S584,S661,S661,S661,S752,S752,S752,S785,S661,S661,S520,S520,S542,S12,S12,S1093,S811,S811,S811,S661,S661,S661,S1119,S1119,S1119,S785,S785,S1032,S1032,S1032,S785,S785,S785,S1119,S1119,S60,S60,S785,S785,S785,S752,S752,S752,S661,S661,S661,S35,S35,S35,S661,S661,S661,S796,S37,S37,S12,S12,S1093,S1010,S1010,S1010,S976,S976,S976,S1074,S1074,S720,S661,S661,S661,S995,S995,S995,S852,S852,S661,S1046,S811,S811,S12,S12,S12,S811,S186,S1340,S12,S12,S12,S752,S752,S115,S661,S31,S31,S186,S186,S1340,S709,S709,S709,S622,S622,S1031,S709,S709,S709,S1340,S1082,S1082,S709,S709,S709,S155,S155,S210,S976,S976,S976,S811,S811,S811,S1221,S1221,S1001,S661,S661,S661,S976,S976,S976,S661,S661,S212
S1159,S1159,S1159,S75,S75,S75,S9,S9,S9,S1330,S1330,S1330,S1330,S1330,S1330,S1330,S1330,S1330,S1330,S1330,S1330,S730,S730,S730,S59,S59,S59,S59,S59,S59,S59,S59,S59,S1206,S1206,S1206,S1206,S1206,S1206,S1090,S1090,S1090,S198,S198,S198,S83,S83,S12,S4,S4,S796,S468,S468,S468,S585,S585,S585,S104,S104,S104,S545,S545,S545,S545,S545,S545,S545,S545,S545,S835,S835,S835,S139,S139,S139,S94,S785,S785,S1335,S1335,S1335,S210,S210,S210,S785,S785,S785,S1093,S1093,S709,S1185,S1185,S853,S661,S848,S848,S768,S768,S768,S928,S928,S1223,S661,S12,S848,S745,S74,S449,S708,S89,S852,S709,S4,S289,S141,S141,S958,S1093,S1093,S1093,S1292,S1292,S1292,S155,S155,S155,S4,S4,S796,S128,S128,S128,S12,S12,S12,S209,S209,S209,S338,S89,S89,S852,S852,S852,S661,S12,S10,S10,S243,S338,S785,S785,S785,S159,S543,S543,S785,S785,S785,S1093,S1093,S1093,S420,S420,S420,S338,S338,S338,S785,S785,S785,S1271,S1271,S1271,S338,S338,S89,S497,S497,S497,S785,S785,S785,S22,S22,S912,S785,S785,S661,S869,S869,S869,S1093,S1093,S1093,S512,S512,S1314,S1002,S1002,S760,S726,S726,S853,S709,S709,S709,S1369,S871,S60,S852,S852,S852,S867,S227,S435,S785,S785,S785,S615,S615,S615,S852,S785,S785,S461,S128,S250,S661,S661,S12,S372,S372,S824,S785,S785,S785,S476,S476,S476,S852,S852,S592,S592,S592,S852,S852,S852,S702,S702,S420,S420,S852,S852,S852,S453,S453,S714,S785,S785,S785,S30,S30,S30,S785,S785,S785,S709,S1344,S1344,S661,S661,S12,S227,S227,S18,S709,S709,S709,S592,S592,S758,S785,S785,S785,S1270,S1270,S1270,S89,S89,S785,S86,S1046,S1046,S661,S661,S661,S615,S811,S186,S661,S661,S661,S7,S7,S752,S785,S12,S12,S1169,S1169,S186,S1093,S1093,S1093,S76,S76,S1228,S1093,S1093,S1093,S1223,S1340,S1340,S1093,S1093,S1093,S358,S358,S997,S709,S709,S709,S814,S814,S814,S482,S482,S1221,S785,S785,S785,S709,S709,S709,S785,S785,S492
